	RCC4-EV	RCC4-VHL
ACTG1P13	0	0
ACTG1P14	1.27775904150611	1.28896705760702
ACTG1P15	0	0
ACTG1P16	0	0
ACTG1P17	1.68159471405657	12.3708939754109
ACTG1P18	0	0
ACTG1P19	0	0
ACTG1P2	0	0
ACTG1P20	12.3249262660853	20.7015235064692
ACTG1P21	0	0
ACTG1P22	0	0
ACTG1P23	0	0
ACTG1P24	0	1.73774364589473
ACTG1P3	2.5772540067754	0
ACTG1P4	0	0
ACTG1P9	0	0
ACTG2	0	5.30587913241635
ACTL10	61.9031760331711	12.1437079646225
ACTL6A	1280.4599427518	1544.36992493213
ACTL6B	0	0
ACTL7A	0	0
ACTL7B	0	0
ACTL8	0	0
ACTL9	0	0
ACTN1	9314.14703598182	4801.6365935971
ACTN1-AS1	9.59573351108265	7.85897637537782
ACTN2	14.81573936608	9.16307394136858
ACTN3	0	0
ACTN4	12367.5443984636	10946.9886856899
ACTN4P1	0.948626103383762	0
ACTN4P2	0	0
ACTP1	0	0
ACTR10	942.717451638078	562.947388781307
ACTR1A	1299.85780435966	1130.72443583871
ACTR1B	751.707935672282	369.17924686809
ACTR2	3182.12450336723	2749.99772365558
ACTR3	3943.94660527316	3193.39350348823
ACTR3B	150.563409584904	211.470113502931
ACTR3BP1	0	0
ACTR3BP2	0	0
ACTR3BP3	0	0
ACTR3BP4	0	0
ACTR3BP5	0	0
ACTR3BP6	0	0
ACTR3C	165.62619203468	126.814233940776
ACTR3P2	0	0
ACTR3P3	0	0
ACTR5	116.912254645349	87.0548359404626
ACTR6	207.775861109518	262.436802771644
ACTR6P1	0	0
ACTR8	171.995977977923	109.163173181158
ACTRT1	0	0
ACTRT2	0	0
ACTRT3	0	0
ACVR1	194.601222663579	229.397976921584
ACVR1B	214.037470222217	210.248272612707
ACVR1C	0	0.140875500699984
ACVR2A	31.6720449344872	32.0153944565657
ACVR2B	19.9997378455907	8.89346541084764
ACVR2B-AS1	8.27312962330712	1.56514165780392
ACVRL1	5.76361666719227	3.17112617220094
ACY1	390.096170818831	307.055492005977
ACY3	0	6.43851663547734
ACYP1	215.478558100114	88.3759101271808
ACYP2	61.1310866273266	60.7638552199195
ADA	740.482510667233	303.307807819969
ADA2	0	0
ADAD1	0	0
ADAD1P2	0	0
ADAD2	0	0
ADAL	70.6558689780114	90.4728273003938
ADAM10	1550.13571177072	1860.97944799044
ADAM11	4.4916590288258	1.37670497414673
ADAM12	1023.28844070802	1342.00575104835
ADAM15	797.652457244843	900.636755151942
ADAM17	589.08617429556	532.363188161156
ADAM18	100.613057820441	13.571951827704
ADAM19	98.7394560004732	113.279908547128
ADAM1A	0	0
ADAM1B	0	0
ADAM2	0	0
ADAM20	0.46293263253295	0.467104487122361
ADAM20P1	1.270816695749	0.568012607186035
ADAM20P2	0	0
ADAM20P3	0	0
ADAM21	0	2.95261879263643
ADAM21P1	0	0.651887010264234
ADAM22	73.9143624174645	74.5374900631487
ADAM23	0	0
ADAM24P	0	0
ADAM28	0	1.91885297643526
ADAM29	0	0
ADAM30	0	0
ADAM32	1.60799424622498	5.69626528080301
ADAM33	0	0
ADAM3A	2.43896789393681	3.78590061473146
ADAM3B	0	0
ADAM5	0	0
ADAM6	0	0
ADAM7	0.380514031929106	0.767868542453602
ADAM8	15.6304497469904	11.761258196105
ADAM9	5621.75429872625	4719.06335714364
ADAMDEC1	0	0
ADAMTS1	808.420847710552	642.022622985214
ADAMTS10	107.269084994594	164.919933987046
ADAMTS12	1.0402882729901	0.95164236503656
ADAMTS13	12.5027392723153	14.2314326402891
ADAMTS14	39.0884426801425	28.7224058375961
ADAMTS15	66.7585443628315	306.801223336787
ADAMTS16	96.9426647580738	9.11494179583085
ADAMTS17	8.59205209190369	4.27371201144063
ADAMTS18	0.214091113863248	0
ADAMTS19	0	0
ADAMTS19-AS1	0	0
ADAMTS2	6.96278603416669	25.4444525665801
ADAMTS20	0	0
ADAMTS3	21.2570372720243	156.567817230875
ADAMTS4	5.87898723762928	4.22455213325797
ADAMTS5	0	0
ADAMTS6	38.9115965744357	32.1795081342928
ADAMTS7	24.3085173094445	35.7786088247646
ADAMTS7P1	0	0
ADAMTS7P3	0	0
ADAMTS7P4	12.7622940487829	8.48678779683018
ADAMTS8	0	5.66282590567063
ADAMTS9	168.496010801788	163.134971735743
ADAMTS9-AS1	0	16.9800845670783
ADAMTS9-AS2	13.2460343805767	9.02941160126915
ADAMTSL1	143.273907863923	5.70844581585408
ADAMTSL2	0.622258500757979	0
ADAMTSL3	433.405037593011	270.821274074045
ADAMTSL4	106.758484166264	85.4794550203814
ADAMTSL4-AS1	0.696245728798878	8.67187483334833
ADAMTSL5	143.439073811309	166.300902148461
ADAP1	0	0.68977989352466
ADAP2	125.749880132154	267.330142407549
ADAR	1446.69414117352	2475.92999441288
ADARB1	162.64575984771	141.39897822589
ADARB2	0.145963302993388	0.147289313687811
ADARB2-AS1	0	0
ADAT1	555.41610678177	729.169612286173
ADAT2	58.1244901121968	68.9935385667421
ADAT3	56.1075549586584	52.7447619048782
ADCK1	102.600734564145	96.5683476816676
ADCK2	274.734534542656	217.410046581013
ADCK5	92.6675721084508	58.8290533554017
ADCY1	8.09146835299447	11.8075822934711
ADCY10	13.7342611307985	5.36908469007977
ADCY10P1	4.33026399348097	1.22178379396598
ADCY2	0.124672153470902	0
ADCY3	1129.08062382933	360.545112661314
ADCY4	5.51266730538183	3.02667263932971
ADCY5	2.96310532959298	2.7722897776226
ADCY6	213.441356711608	327.770775710637
ADCY7	360.049330959883	355.765013937212
ADCY8	0	1.72710470981106
ADCY9	216.123364721075	193.222682327961
ADCYAP1	0	0
ADCYAP1R1	0	0
ADD1	2159.71296408178	1601.74660173938
ADD2	337.147015757456	119.377769874982
ADD3	609.436239538743	549.619561520947
ADD3-AS1	1.24492309973573	1.25587026002295
ADGB	0	0
ADGRA1	0	0
ADGRA1-AS1	0	0
ADGRA2	7.35418736598786	7.58923462025476
ADGRA3	251.243783019776	284.813530489355
ADGRB1	5.13252069565157	1.59867619336638
ADGRB2	14.8359089109955	30.5130967467909
ADGRB3	5.7209183400845	9.61563791477373
ADGRD1	0.175318402879975	0
ADGRD1-AS1	0	0
ADGRD2	2.29679484099465	0.649755416630298
ADGRE1	0.506269113986074	0
ADGRE2	0.371541195073126	53.8128996684266
ADGRE3	0	0
ADGRE4P	0.919193651455312	0
ADGRE5	157.008575092941	578.575300733115
ADGRF1	4.89265201383784	0.291419301096752
ADGRF2	2.92785213651442	3.45624585282597
ADGRF3	0.395152905851468	2.95602553603353
ADGRF4	0.417759040085606	0.8430452822219
ADGRF5	1.10263401873079	0.667569449142482
ADGRF5P1	5.04188344059989	14.1647251787985
ADGRF5P2	0	0
ADGRG1	6546.29181599359	18724.7139265336
ADGRG2	0.313159741477864	0.217898352811959
ADGRG3	1.16362610373889	0.570391617938196
ADGRG4	0	0
ADGRG5	0	0.773463975742686
ADGRG6	525.420590002597	687.94421076412
ADGRG7	0	0
ADGRL1	30.4038001941301	117.557331815342
ADGRL2	4.75968385387725	1077.62522036384
ADGRL3	0	0
ADGRL3-AS1	0	0
ADGRL4	0	0
ADGRV1	9.01808780046852	7.80745651852901
ADH1A	0	0
ADH1B	0	0.317436162682388
ADH1C	0	0
ADH4	0.672943426187983	0
ADH5	1049.71435413537	1090.00561135018
ADH5P2	0	0
ADH5P3	0	0
ADH5P4	0	0
ADH6	0	0
ADH7	0	3.19426918879797
ADHFE1	2.78310712818036	1.35432324099039
ADI1	464.002469285931	743.028472810587
ADI1P1	0	0
ADI1P2	0	0
ADI1P3	0	0
ADIG	0	0
ADIPOQ	0	0
ADIPOQ-AS1	0.370612970570784	0
ADIPOR1	1137.50646572129	1610.57767997227
ADIPOR1P1	0	0
ADIPOR1P2	0	0
ADIPOR2	644.540201190538	732.13627675829
ADIRF	0	0
ADIRF-AS1	90.5192351737996	72.1693846962753
ADK	519.206668423706	506.240736562296
ADM	1017.54915125799	57.490869323354
ADM2	11.2236072320661	159.622486068736
ADM5	25.3383050427518	47.8905332057382
ADNP	666.511932653345	721.18230255478
ADNP-AS1	20.8919162964257	12.9783410648247
ADNP2	200.103602147394	287.215398776823
ADO	272.621972927366	274.018645492864
ADORA1	334.889303035612	1232.57277901581
ADORA2A	5.6706781888952	206.563451406813
ADORA2A-AS1	0	5.64251866989018
ADORA2B	225.578085459843	91.6081483275833
ADORA2BP1	0	0
ADORA3	2.77144630786968	0
ADPGK	432.346204167984	526.778926706564
ADPGK-AS1	0	2.06665615644554
ADPRH	0	28.8238658881543
ADPRHL1	20.9363357064649	5.56050941124168
ADPRHL2	856.278362630399	634.683489007313
ADPRM	219.179292500902	65.1040653399045
ADRA1A	1.26327487166747	1.96114227156568
ADRA1B	19.2135897061378	53.4426114028742
ADRA1D	0	0
ADRA2A	0	0.342330131193004
ADRA2B	0	0.347088152697327
ADRA2C	47.7151871628212	23.7584952267384
ADRB1	0	1.36888278679362
ADRB2	94.1355011448744	29.9162314972027
ADRB3	0	0
ADRM1	1541.18567442908	1602.12745281267
ADSL	1264.7082630172	1053.74402527855
ADSS	355.063682453717	452.204343107768
