KEGG Pathway and Enzyme ID	Gene name
00561	2.3.1.51	AGPAT3
00480	6.3.2.3	GSS
00270	6.3.2.3	GSS
00760	2.7.1.23	NADK2
04658	3.1.3.16	PPM1E
04660	3.1.3.16	PPM1E
00983	2.3.1.5	NAT2
00232	2.3.1.5	NAT2
00633	2.3.1.5	NAT2
05165	2.7.11.1	ILK
04150	2.7.11.1	ILK
04926	2.7.11.1	ILK
04714	2.7.11.1	ILK
04151	2.7.11.1	ILK
00970	6.1.1.22	NARS2
00520	3.5.1.25	AMDHD2
00052	3.5.1.25	AMDHD2
00130	2.1.1.163	RRP8
00760	6.3.4.21	AC009086.2
00760	6.3.4.21	QPRT
00760	2.4.2.19	QPRT
00680	3.1.2.12	ESD
00940	1.11.1.7	LPO
00770	2.7.1.33	PANK1
00230	2.7.7.6	POLR3A
00240	2.7.7.6	POLR3A
00310	2.1.1.43	EHMT2
00860	1.16.3.1	CP
00982	1.14.14.1	CYP2D7
00380	1.14.14.1	CYP2D7
00590	1.14.14.1	CYP2D7
00071	1.14.14.1	CYP2D7
00830	1.14.14.1	CYP2D7
00627	1.14.14.1	CYP2D7
00232	1.14.14.1	CYP2D7
00591	1.14.14.1	CYP2D7
00140	1.14.14.1	CYP2D7
00980	1.14.14.1	CYP2D7
00592	3.1.1.4	PLA2G10
00564	3.1.1.4	PLA2G10
00591	3.1.1.4	PLA2G10
00590	3.1.1.4	PLA2G10
00565	3.1.1.4	PLA2G10
00780	6.3.4.15	HLCS
00785	2.3.1.181	HLCS
00190	3.6.3.14	ATP6V1B1
00195	3.6.3.14	ATP6V1B1
00970	6.1.1.3	OLA1
00790	4.2.3.12	PTS
00720	6.2.1.5	SUCLG1
00640	6.2.1.5	SUCLG1
00660	6.2.1.5	SUCLG1
00020	6.2.1.5	SUCLG1
04658	3.1.3.16	PDP1
04660	3.1.3.16	PDP1
05165	2.7.11.1	RIOK2
04150	2.7.11.1	RIOK2
04926	2.7.11.1	RIOK2
04714	2.7.11.1	RIOK2
04151	2.7.11.1	RIOK2
05165	2.7.11.1	SIK2
04150	2.7.11.1	SIK2
04926	2.7.11.1	SIK2
04714	2.7.11.1	SIK2
04151	2.7.11.1	SIK2
00770	2.7.1.33	PANK4
00730	2.7.4.3	AK6
00230	2.7.4.3	AK6
00380	1.13.11.6	HAAO
00970	2.1.2.9	MTFMT
00670	2.1.2.9	MTFMT
00983	2.7.4.6	NME9
00240	2.7.4.6	NME9
00230	2.7.4.6	NME9
00010	2.7.1.2	GCK
00500	2.7.1.2	GCK
00520	2.7.1.2	GCK
00521	2.7.1.2	GCK
00524	2.7.1.2	GCK
